number,alpha,common,band_size,scientific,T & E*,Comments,taxonomic_order
1470,CANV,Canvasback,7A,Aythya valisineria,,,64
5910,CANT,Canyon Towhee,"1A, 1D, 2",Melozone fusca,,,1026
7170,CANW,Canyon Wren,"1, 1C",Catherpes mexicanus,,,800
6500,CMWA,Cape May Warbler,"0, 0A, 1C, 1",Setophaga tigrina,,,954
1020,CAPE,Cape Petrel,"4, 4A",Daption capense,,,137
5511,CSSS,Cape Sable Seaside Sparrow,1B,Ammodramus maritimus mirabilis,Y,,1063
8660,CAHO,Cardinal Honeyeater,"1, 1C, 0",Myzomela cardinalis,,,704
2211,CARC,Caribbean Coot,6,Fulica caribaea,,,287
3181,CADO,Caribbean Dove,3A,Leptotila jamaicensis,,,489
4721,CAEL,Caribbean Elaenia,"1, 1C, 0, 1B",Elaenia martinica,,,650
6113,CAMA,Caribbean Martin,1A,Progne dominicensis,,,766
7360,CACH,Carolina Chickadee,"0, 0A, 1C",Poecile carolinensis,,,776
7180,CARW,Carolina Wren,"1B, 1",Thryothorus ludovicianus,,,808
640,CATE,Caspian Tern,"5, 4A",Hydroprogne caspia,,,446
5211,CACR,Cassia Crossbill,"1A, 1D",Loxia sinesciuris,,,1182
160,CAAU,Cassin's Auklet,"3, 3B, 3A",Ptychoramphus aleuticus,,,393
5180,CAFI,Cassin's Finch,"1B, 1, 1C",Haemorhous cassinii,,,1180
4480,CAKI,Cassin's Kingbird,1A,Tyrannus vociferans,,,695
5780,CASP,Cassin's Sparrow,"1, 1C",Peucaea cassinii,,,1031
6292,CAVI,Cassin's Vireo,"1C, 1, 0",Vireo cassinii,,AOU split from 6299-SOVI in 1998.,721
2001,CAEG,Cattle Egret,6,Bubulcus ibis,,,223
6121,CASW,Cave Swallow,"1, 1C",Petrochelidon fulva,,,774
671,CAYT,Cayenne Tern,3B,Thalasseus acuflavidus eurygnathus,,,461
6190,CEDW,Cedar Waxwing,1B,Bombycilla cedrorum,,,912
6580,CERW,Cerulean Warbler,"0A, 0",Setophaga cerulea,"Ontario
Québec",,955
7410,CBCH,Chestnut-backed Chickadee,"0, 0A",Poecile rufescens,,,780
5380,CCLO,Chestnut-collared Longspur,"1, 1C",Calcarius ornatus,"Alberta
Manitoba
Saskatchewan",,918
6590,CSWA,Chestnut-sided Warbler,"0A, 0",Setophaga pensylvanica,,,962
5013,CHME,Chihuahuan Meadowlark,"M: 3
F: 2, 3",Sturnella lilianae,,"From Meadowlark Split, AOS 63rd Supplement (2022)",1116
4870,CHRA,Chihuahuan Raven,"5, 5A",Corvus cryptoleucus,,,757
4230,CHSW,Chimney Swift,"1B, 1",Chaetura pelagica,"Manitoba
New Brunswick
Nova Scotia
Ontario
Québec
Saskatchewan",,539
8505,CHPE,Chinstrap Penguin,9,Pygoscelis antarcticus,,,108
5600,CHSP,Chipping Sparrow,"0, 0A, 1C, 1",Spizella passerina,,,1034
963,CHSH,Christmas Shearwater,"4, 4A",Puffinus nativitatis,,,168
4160,CWWI,Chuck-will's-widow,3,Antrostomus carolinensis,,,533
1410,CITE,Cinnamon Teal,"5, 4A",Spatula cyanoptera,,,55
6024,CRSE,Cinnamon-rumped Seedeater,"0, 0A",Sporophila torqueola,,"From split of White-collared Seedeater, AOS 59th Supplement (2019)",1007
2110,CLRA,Clapper Rail,"5, 4A",Rallus crepitans,,,275
11,CLGR,Clark's Grebe,"7A, 7, 7B",Aechmophorus clarkii,,,102
