number,alpha,common,scientific,taxonomic_order
3830,SBAN,Smooth-billed Ani,Crotophaga ani,501
3840,GBAN,Groove-billed Ani,Crotophaga sulcirostris,502
3850,GRRO,Greater Roadrunner,Geococcyx californianus,500
3851,PRLC,Puerto Rican Lizard-Cuckoo,Coccyzus vieilloti,498
3860,MACU,Mangrove Cuckoo,Coccyzus minor,496
3870,YBCU,Yellow-billed Cuckoo,Coccyzus americanus,494
3880,BBCU,Black-billed Cuckoo,Coccyzus erythropthalmus,497
3890,ELTR,Elegant Trogon,Trogon elegans,578
3891,EAQU,Eared Quetzal,Euptilotis neoxenus,579
3900,BEKI,Belted Kingfisher,Megaceryle alcyon,586
3901,RIKI,Ringed Kingfisher,Megaceryle torquata,585
3910,GKIN,Green Kingfisher,Chloroceryle americana,587
3912,PRTO,Puerto Rican Tody,Todus mexicanus,581
3930,HAWO,Hairy Woodpecker,Dryobates villosus,605
3940,DOWO,Downy Woodpecker,Dryobates pubescens,604
3960,LBWO,Ladder-backed Woodpecker,Dryobates scalaris,602
3970,NUWO,Nuttall's Woodpecker,Dryobates nuttallii,603
3980,ARWO,Arizona Woodpecker,Dryobates arizonae,606
3990,WHWO,White-headed Woodpecker *,Picoides albolarvatus,608
4000,BBWO,Black-backed Woodpecker,Picoides arcticus,610
4010,ATTW,American Three-toed Woodpecker,Picoides dorsalis,609
4020,YBSA,Yellow-bellied Sapsucker,Sphyrapicus varius,597
